,R,G,B
left-lateral-ventricle,0.47058823529411764,0.07058823529411765,0.5254901960784314
left-inf-lat-vent,0.7686274509803922,0.22745098039215686,0.9803921568627451
left-cerebellum-cortex,0.9019607843137255,0.5803921568627451,0.13333333333333333
left-thalamus-proper,0.0,0.4627450980392157,0.054901960784313725
left-caudate,0.47843137254901963,0.7294117647058823,0.8627450980392157
left-putamen,0.9254901960784314,0.050980392156862744,0.6901960784313725
left-pallidum,0.047058823529411764,0.18823529411764706,1.0
3rd-ventricle,0.8,0.7137254901960784,0.5568627450980392
4th-ventricle,0.16470588235294117,0.8,0.6431372549019608
brain-stem,0.4666666666666667,0.6235294117647059,0.6901960784313725
left-hippocampus,0.8627450980392157,0.8470588235294118,0.0784313725490196
left-amygdala,0.403921568627451,1.0,1.0
left-accumbens-area,1.0,0.6470588235294118,0.0
left-ventraldc,0.6470588235294118,0.16470588235294117,0.16470588235294117
right-lateral-ventricle,0.47058823529411764,0.07058823529411765,0.5254901960784314
right-inf-lat-vent,0.7686274509803922,0.22745098039215686,0.9803921568627451
right-cerebellum-cortex,0.9019607843137255,0.5803921568627451,0.13333333333333333
right-thalamus-proper,0.0,0.4627450980392157,0.054901960784313725
right-caudate,0.47843137254901963,0.7294117647058823,0.8627450980392157
right-putamen,0.9254901960784314,0.050980392156862744,0.6901960784313725
right-pallidum,0.050980392156862744,0.18823529411764706,1.0
right-hippocampus,0.8627450980392157,0.8470588235294118,0.0784313725490196
right-amygdala,0.403921568627451,1.0,1.0
right-accumbens-area,1.0,0.6470588235294118,0.0
right-ventraldc,0.6470588235294118,0.16470588235294117,0.16470588235294117
left-cerebral-white-matter,0.9607843137254902,0.9607843137254902,0.9607843137254902
left-cerebral-cortex,0.803921568627451,0.24313725490196078,0.3058823529411765
right-cerebral-white-matter,0.0,0.8823529411764706,0.0
right-cerebral-cortex,0.803921568627451,0.24313725490196078,0.3058823529411765
