L,I,A
-0.014745116,0.007988513,0.01976717
-0.013245547,0.007304986,0.021032782
-0.00982375,0.008786355,0.020751864
-0.01252195,0.010032395,0.018740516
-0.009928469,0.01190501,0.018979156
-0.013610854,0.008912416,0.021709088
-0.015497022,0.01252852,0.020860735
-0.011527221,0.011819036,0.016207786
-0.012988952,0.013554383,0.017145844
-0.014320717,0.013940975,0.019066507
-0.012987769,0.012750197,0.015916172
-0.014095732,0.012135243,0.015688894
-0.014206543,0.00657627,0.023475502
-0.015293274,0.004045201,0.021841459
-0.01577349,0.003959483,0.023503542
-0.016207658,0.00433335,0.019963613
-0.01527952,0.016406795,0.019054726
-0.015787626,0.01791336,0.016986376
-0.0150438305,0.016089436,0.012953228
-0.0149215115,0.0150075955,0.011935659
-0.015981413,0.0131329335,0.012322614
-0.017085368,0.007926736,0.025669564
-0.016644347,0.011898189,0.024267958
-0.01771514,0.0051159933,0.01891867
-0.01924938,0.01042408,0.01851574
-0.019676331,0.011489477,0.017749412
-0.016958524,0.004536561,0.024376355
-0.018353177,0.014655194,0.02215271
-0.018314594,0.01842034,0.020824825
-0.018806044,0.01101588,0.025447417
-0.02043718,0.0028783507,0.022086523
-0.018536925,0.019716319,0.017375581
-0.020972101,0.012555332,0.014510348
-0.019385861,0.019387085,0.013142818
-0.017913742,0.016335156,0.011567508
-0.020191325,0.004157601,0.024074739
-0.02045467,0.019017724,0.02029926
-0.020154253,0.014085347,0.01364038
-0.020120792,0.015555132,0.0134949405
-0.019336093,0.017760796,0.0102386
-0.021499583,0.011177329,0.025104478
-0.023733752,0.016456248,0.021690896
-0.021078069,0.006617148,0.018251546
-0.021741366,0.020376861,0.01520614
-0.024165798,0.006615414,0.024304569
-0.022203825,0.0019436213,0.023183158
-0.021806147,0.019126238,0.011369951
-0.022663016,0.016924007,0.010898134
-0.024071954,0.017325642,0.010355676
-0.025889205,0.014465321,0.02303586
-0.026079707,0.0021397746,0.022625878
-0.023155848,0.0089433445,0.01707878
-0.027434623,0.018952,0.015038373
-0.02511942,0.009315108,0.015764486
-0.025811218,0.0066767973,0.01777688
-0.026300974,0.005250065,0.019718878
-0.026450003,0.018679539,0.012074026
-0.024975672,0.012809326,0.012181512
-0.025691919,0.011355826,0.023706267
-0.027579112,0.01381461,0.011311654
-0.026459537,0.00691461,0.02338235
-0.027724704,0.015807847,0.0209727
-0.026620133,0.0044786385,0.02157071
-0.028965266,0.0097718295,0.015573064
-0.027864894,0.010999271,0.0202036
-0.028180039,0.0142011,0.021193821
-0.028053768,0.0077978484,0.02018872
-0.030560048,0.008444232,0.018789707
-0.029380463,0.017550005,0.013014762
-0.029637033,0.014535574,0.011411769
-0.03038129,0.015761197,0.019687137
-0.031029815,0.012760143,0.018431114
-0.032228917,0.011820929,0.016099805
-0.031001257,0.014660306,0.012461705
-0.031144727,0.015767882,0.017406862
