L,I,A
-0.0093953395,0.0137485685,0.03447215
-0.0106204515,0.010210716,0.037823055
-0.010694486,0.016859047,0.036916133
-0.010013532,0.0102969,0.03229173
-0.010765353,0.00907346,0.037116773
-0.01100606,0.00860881,0.031347275
-0.011628957,0.01747559,0.033446286
-0.011391935,0.016015481,0.031902328
-0.0105262585,0.008867579,0.029607214
-0.011800678,0.012673642,0.03088416
-0.011222131,0.009568884,0.029044239
-0.01448218,0.007687027,0.035114583
-0.013206596,0.005245991,0.030186588
-0.013924663,0.0073337895,0.027100705
-0.014255298,0.0108166495,0.038591992
-0.014928272,0.00869915,0.038014863
-0.013729133,0.01642365,0.03834658
-0.01358353,0.018403819,0.03668259
-0.012915662,0.0057609193,0.02802874
-0.014135891,0.017416848,0.033203103
-0.015627412,0.0052747517,0.03358414
-0.015010662,0.015104987,0.031492326
-0.01940592,0.0104087,0.028542893
-0.017811105,0.017864224,0.03715942
-0.017329099,0.0050530597,0.02671875
-0.015795004,0.009731645,0.041164484
-0.016485462,0.012943501,0.03989851
-0.016773565,0.016739938,0.040396668
-0.017169064,0.016265647,0.0333637
-0.017467882,0.0035118626,0.028525745
-0.01841331,0.0038577744,0.032175474
-0.016868236,0.007941825,0.026631933
-0.017913498,0.004096611,0.038728792
-0.017601643,0.007995054,0.041813467
-0.020345317,0.010533068,0.042248383
-0.01897291,0.013519034,0.039800767
-0.018528173,0.016572963,0.040042188
-0.021030266,0.013155576,0.029572112
-0.020543516,0.0033287401,0.040131856
-0.019683376,0.015126891,0.035466485
-0.019475808,-0.0014698562,0.027905006
-0.019362316,-0.0008426252,0.030857386
-0.019237654,0.002872414,0.026445415
-0.019692665,0.0067398804,0.041437235
-0.020172196,0.0141216265,0.038438205
-0.021253409,0.0020869423,0.038726576
-0.02140209,0.013994032,0.030896042
-0.020633718,-0.00016380537,0.03401474
-0.021656744,-0.0032387066,0.0311751
-0.021257259,0.0077261305,0.02745389
-0.02142196,-0.0033299678,0.027618725
-0.02015619,-0.00046275722,0.02594742
-0.022972314,0.011373153,0.040595196
-0.02260395,-0.0016783968,0.025513964
-0.021803297,0.0032204874,0.04089194
-0.022246676,0.006523452,0.04007857
-0.021912815,-0.000100925885,0.037965678
-0.023946207,0.011898995,0.030800529
-0.025280965,0.01024171,0.028822163
-0.02365337,0.0060855406,0.038313784
-0.023512622,0.002871816,0.03888057
-0.022748226,-0.00015065516,0.039859492
-0.023593783,-0.001934608,0.03701925
-0.02373128,0.010190751,0.035209604
-0.023959665,-0.004196519,0.035532586
-0.023868453,-0.004891787,0.03281557
-0.023088604,-0.0066403826,0.028717687
-0.025103582,0.00034201585,0.03814121
-0.025987951,0.007994017,0.027665185
-0.025438871,0.004730017,0.026861282
-0.027047893,-0.005034569,0.027149368
-0.025286045,-0.00087886944,0.025410214
-0.02748154,0.008193386,0.032723915
-0.025805762,-0.006618704,0.0295086
-0.026287809,-0.0024454494,0.035490222
-0.026871001,0.009693765,0.029431505
-0.026742006,0.0003104016,0.035372738
-0.026686812,-0.004761009,0.030628612
-0.027619366,-0.0051501854,0.027738346
-0.027215492,0.00337822,0.028635317
-0.026884357,0.0001164646,0.0265479
-0.027793296,0.006924206,0.030559465
